row_type,measurement_index,target_x_mm,target_y_mm,target_force_N,actual_x_mm,actual_y_mm,position_time_s,actual_force_N,force_time_s,eit_0,eit_1,eit_2,eit_3,eit_4,eit_5,eit_6,eit_7,eit_8,eit_9,eit_10,eit_11,eit_12,eit_13,eit_14,eit_15,eit_time_s
baseline,,,,,,,0.2677171280001857,,,0.1338153846153846,0.13634615384615387,0.13112307692307693,0.13117692307692305,0.2794461538461538,0.26897692307692306,0.2002307692307692,0.19754615384615384,0.1347769230769231,0.14139999999999997,0.2441,0.2542615384615385,0.16490000000000002,0.16580769230769227,0.19106153846153845,0.18690000000000004,0.2677171280001857
baseline,1.0,81.461538,21.119658,1.0,81.46,21.12,34.95233978299984,0.0,,0.1432076923076923,0.14586153846153843,0.14033846153846155,0.14080769230769236,0.1967,0.18740769230769233,0.1514769230769231,0.14701538461538463,0.1321230769230769,0.13990769230769232,0.25020769230769235,0.2582230769230769,0.1649769230769231,0.16737692307692303,0.19109230769230764,0.18572307692307694,35.09434242499992
contact,1.0,81.461538,21.119658,1.0,81.46,21.12,34.95233978299984,1.1182,53.65244628999972,0.13749230769230766,0.14041538461538466,0.13580769230769227,0.1364538461538462,0.18666923076923075,0.17643846153846152,0.21075384615384612,0.20592307692307693,0.13012307692307695,0.13485384615384613,0.24808461538461538,0.25633076923076925,0.1628615384615385,0.16576153846153843,0.19135384615384615,0.1874153846153846,54.784771827999975
baseline,2.0,68.333333,26.62963,2.0,68.33,26.63,57.32872328400026,0.0,,0.13928461538461537,0.1423769230769231,0.13823846153846156,0.13910769230769232,0.18764615384615385,0.1773846153846154,0.23083846153846152,0.2443307692307692,0.1381923076923077,0.14549230769230767,0.24838461538461531,0.2557307692307692,0.21371538461538458,0.21185384615384614,0.19130000000000003,0.18688461538461537,57.38070874499954
contact,2.0,68.333333,26.62963,2.0,68.33,26.63,57.32872328400026,2.1539,66.16207855099947,0.143,0.14651538461538463,0.13803846153846153,0.1357230769230769,0.14929230769230767,0.14737692307692304,0.1495384615384615,0.14620000000000002,0.1328692307692308,0.13759999999999997,0.24046923076923082,0.2515923076923076,0.3426769230769231,0.3445692307692308,0.18631538461538458,0.1830769230769231,67.33466656400014
baseline,3.0,86.384615,17.683761,3.0,86.38,17.68,70.3470326429997,0.0,,0.14063076923076925,0.14376153846153844,0.13725384615384614,0.13737692307692304,0.19626923076923075,0.18639230769230772,0.14976923076923074,0.14611538461538462,0.13501538461538462,0.1426461538461538,0.24404615384615386,0.2519307692307693,0.2561538461538462,0.25816923076923076,0.18723846153846152,0.18296153846153848,70.36282516200026
contact,3.0,86.384615,17.683761,3.0,86.38,17.68,70.3470326429997,3.3829,80.75598380799966,0.1382153846153846,0.14123846153846153,0.13440769230769234,0.13435384615384618,0.19089230769230767,0.18070769230769232,0.1449,0.14013076923076923,0.12536923076923073,0.12969999999999995,0.2494,0.25846153846153846,0.2496,0.25124615384615384,0.18858461538461538,0.18384615384615385,81.83199198399961
baseline,4.0,50.282051,26.94302,4.0,50.28,26.94,86.16298909899979,0.0,,0.13949230769230767,0.14251538461538463,0.13630769230769232,0.13781538461538462,0.18953846153846154,0.17984615384615385,0.1504692307692308,0.14788461538461536,0.13615384615384615,0.1459230769230769,0.24917692307692307,0.2556615384615385,0.25230769230769234,0.25439230769230764,0.19228461538461533,0.18644615384615384,86.3747955079998
contact,4.0,50.282051,26.94302,4.0,50.28,26.94,86.16298909899979,4.3538,97.31001445399944,0.1623153846153846,0.16558461538461539,0.14147692307692306,0.13349999999999998,0.20333846153846155,0.1949846153846154,0.15403076923076922,0.15167692307692304,0.13883846153846155,0.1479153846153846,0.24819230769230774,0.2549461538461539,0.2785384615384615,0.28014615384615377,0.19113076923076924,0.18621538461538462,98.49204844399992
baseline,5.0,76.538462,21.102564,1.0,76.54,21.1,102.05840883899964,0.0,,0.14293076923076925,0.14592307692307688,0.1400307692307692,0.13894615384615386,0.1964230769230769,0.1864846153846154,0.14998461538461536,0.14678461538461535,0.1352923076923077,0.14425384615384618,0.24527692307692306,0.2524,0.2728307692307692,0.27476923076923077,0.1901076923076923,0.18526923076923077,102.17235020799944
